Gene,logFC,P-value,Adj_P
ILMN_1746784,-0.3798631893921556,1.1349912240052826e-06,0.0006405226220627694
ILMN_1680692,-0.5239210753921588,1.5232560830309331e-06,0.0006686306819610588
ILMN_2168347,0.3693524980980394,1.4352525538590318e-06,0.0006686306819610588
ILMN_1754145,0.22812482272548973,1.5236551810734344e-06,0.0006686306819610588
ILMN_1798108,0.2703991022647063,1.7805588059393878e-06,0.0007561631187158723
ILMN_1800975,0.2248179428627468,2.0450923408326883e-06,0.0008158678990018892
ILMN_1654445,-0.35834556322549194,2.0417692543436766e-06,0.0008158678990018892
ILMN_1718907,-0.31623373075490324,2.330332770639937e-06,0.0009023185566316109
ILMN_1786176,0.2202508091274522,2.865793913626702e-06,0.0009928467598130403
ILMN_1697267,0.307955892499999,2.8591152433764454e-06,0.0009928467598130403
ILMN_1660359,0.21019474746078437,2.6587293363824834e-06,0.0009928467598130403
ILMN_1785060,0.25500256309804037,2.829966816665047e-06,0.0009928467598130403
ILMN_1712357,0.29928024445098256,2.999095103996189e-06,0.001009142026183087
ILMN_3276019,-0.43978281536274544,3.066136046131673e-06,0.001009142026183087
ILMN_2330243,-0.39136695547058675,3.3519583018364743e-06,0.0010582622820688135
ILMN_1656378,-0.4857367201568623,3.376150083318661e-06,0.0010582622820688135
ILMN_2368318,0.2235441017647073,3.6585909770350157e-06,0.0010946670502878632
ILMN_2330948,0.22811169177450896,3.610896755223004e-06,0.0010946670502878632
ILMN_1730799,0.2508912596176476,4.2926715538750156e-06,0.001190474816791135
ILMN_2043728,0.2611383348431362,4.340508257195175e-06,0.001190474816791135
ILMN_1676241,0.36002616822548905,4.190731712455844e-06,0.001190474816791135
ILMN_1771333,-0.24177525178431392,4.098727273415788e-06,0.001190474816791135
ILMN_3241834,-0.4540417051960759,4.480385205962385e-06,0.0012037606374794858
ILMN_3283449,-0.3727873367156871,4.5930080794670405e-06,0.0012093390273236718
ILMN_2324421,0.2563519340392162,4.807343174589734e-06,0.0012409543704602715
ILMN_1696591,0.2292998799705881,5.013028431208372e-06,0.0012691638326318888
ILMN_3245625,-0.3113786517058825,5.221579761380125e-06,0.0012730018066401732
ILMN_3290380,-0.2606806267450974,5.14941616369011e-06,0.0012730018066401732
ILMN_3241046,-0.4813177751078417,5.426254201867399e-06,0.001298847937592442
ILMN_1744822,0.17893871548039186,6.0420185507847105e-06,0.0013714340382944951
ILMN_1804148,-0.25812913626470646,5.969090520928798e-06,0.0013714340382944951
ILMN_1797813,-0.1667017893627456,5.9273698245791715e-06,0.0013714340382944951
ILMN_1726359,0.20831638904901695,6.7100179744667544e-06,0.0014972438412517769
ILMN_1720243,-0.22935830856862705,6.900247967897791e-06,0.0015140294082895737
ILMN_1711627,0.2599046030490211,7.026707045588425e-06,0.0015165016107405182
ILMN_1695079,-0.3346031600392161,7.364992538832851e-06,0.0015427476382080013
ILMN_1694075,0.389311831333333,7.382689039658495e-06,0.0015427476382080013
ILMN_3199974,-0.3986384166078425,7.510408453855367e-06,0.0015449144889844672
ILMN_3278004,0.34051456198039265,7.717241027121954e-06,0.0015630381249547775
ILMN_1773849,0.21420985662745018,8.077404918603458e-06,0.0016111975114153716
ILMN_2339284,0.27954298934313826,8.4472890526916e-06,0.0016598292593833568
ILMN_1671374,-0.22282336388235358,9.501053270203836e-06,0.001666444485441087
ILMN_1661174,-0.32876900529411657,8.82181463530738e-06,0.001666444485441087
ILMN_1671583,0.17298813232352828,8.914467267014364e-06,0.001666444485441087
ILMN_1740749,-0.29331071240196316,1.040095113969618e-05,0.001666444485441087
ILMN_1665557,0.35423216312745076,1.0088888261830159e-05,0.001666444485441087
ILMN_1724479,0.2771067943627461,9.406319485219727e-06,0.001666444485441087
ILMN_1742001,-0.6713565022549011,9.850701860978108e-06,0.001666444485441087
ILMN_2415786,-0.43721160245097757,9.934832840404494e-06,0.001666444485441087
ILMN_1708095,0.24008441565686134,1.023177664617436e-05,0.001666444485441087
ILMN_1720819,-0.17481423073529356,9.072553220811908e-06,0.001666444485441087
ILMN_2141452,-0.19406995000000116,9.10573217863989e-06,0.001666444485441087
ILMN_1672830,0.23740559899019686,1.0506258434607689e-05,0.001666444485441087
ILMN_1725130,-0.20868290278431623,1.0020573455965111e-05,0.001666444485441087
ILMN_2312732,0.20010488679411687,1.0370500606371763e-05,0.001666444485441087
ILMN_1733947,0.22257678766666622,9.552171610097358e-06,0.001666444485441087
ILMN_1676759,-0.2738556860098029,9.830369994319946e-06,0.001666444485441087
ILMN_3234784,-0.34114138465686317,1.1056831031593496e-05,0.0017328950063205757
ILMN_3272996,-0.15896734166666526,1.1189288522556277e-05,0.0017330233341112165
ILMN_1747759,0.39673143806862843,1.1518242535114683e-05,0.001742961643388331
ILMN_2409754,-0.3633328031862755,1.1488874681871223e-05,0.001742961643388331
ILMN_2183510,-0.23650809434313835,1.1680119080935508e-05,0.001747372360233136
ILMN_1670093,0.6936346896960783,1.2754003662326886e-05,0.0018865894181408253
ILMN_1777322,0.2855023046960774,1.2900276817896911e-05,0.0018870238256401427
ILMN_1804656,-0.23386432800000012,1.341988815598615e-05,0.0019414596436654688
ILMN_1726288,-0.24194112051960648,1.3597289850920951e-05,0.0019457426183410254
ILMN_1875123,-0.3461463221470584,1.4287604317253659e-05,0.0020010245833685576
ILMN_2130180,-0.41157207748039326,1.420537589087272e-05,0.0020010245833685576
ILMN_3211615,0.33757809078431356,1.4847502768075923e-05,0.002057551304649679
ILMN_2044471,-0.3902458671078435,1.5022436433436826e-05,0.002060108079647873
ILMN_1670561,-0.3302814040784323,1.5523064561522863e-05,0.00210681592734483
ILMN_1793522,0.17091368245097982,1.6084574088472575e-05,0.002138923412876176
ILMN_3274601,-0.17611289666666252,1.6004640385195174e-05,0.002138923412876176
ILMN_1673936,-0.22519455648039433,1.757634837030129e-05,0.002246831544642804
ILMN_2405233,-0.30075524386274566,1.715620926031888e-05,0.002246831544642804
ILMN_3179371,0.17672796423529213,1.757870483085521e-05,0.002246831544642804
ILMN_2147105,-0.3352232869117646,1.7363221322207336e-05,0.002246831544642804
ILMN_3242271,0.37134083985294275,1.79453639915628e-05,0.002250006828084993
ILMN_2324157,0.2107092644509807,1.781515510329465e-05,0.002250006828084993
ILMN_1797903,-0.25933956843137196,1.8337441140278858e-05,0.0022774755906770864
ILMN_1728298,-0.4689220287549025,1.8839522065679722e-05,0.002312338466280432
ILMN_1807540,0.26669802163725453,1.8999354532528463e-05,0.002312338466280432
ILMN_1758915,-0.20929380546078402,1.9145073514969015e-05,0.002312338466280432
ILMN_3292056,-0.3853300128725472,1.9349791193946687e-05,0.002315818191530074
ILMN_3230435,-0.22906556387254895,1.9807477842256044e-05,0.0023492382503900976
ILMN_2338323,-0.47997852539215735,2.0344465294083987e-05,0.0023702202265187228
ILMN_2362245,0.2969298415882342,2.0281147359026146e-05,0.0023702202265187228
ILMN_1757072,0.24589997671568575,2.1135851711393904e-05,0.0023987369636250064
ILMN_1685052,-0.2565735579117643,2.1053689508538203e-05,0.0023987369636250064
ILMN_1802257,0.32376279070588154,2.1008658173331943e-05,0.0023987369636250064
ILMN_1707943,0.28245612671568665,2.1632616790825295e-05,0.002422841145395722
ILMN_3243899,0.28323490265686235,2.1716312583113954e-05,0.002422841145395722
ILMN_1721977,-0.15876314873529207,2.2266387405131317e-05,0.0024633360520046536
ILMN_2225735,-0.20640926771568857,2.317460014907072e-05,0.0025134846708408888
ILMN_1716524,0.20572760686274982,2.3674295418478556e-05,0.0025134846708408888
ILMN_1737164,0.24664303036274537,2.3393686105678352e-05,0.0025134846708408888
ILMN_1678707,-0.4345343851960797,2.3673021078878198e-05,0.0025134846708408888
ILMN_3300471,-0.3256888679705874,2.3063256206876494e-05,0.0025134846708408888
ILMN_1685378,-0.32220371859803976,2.435537736033553e-05,0.002565108343590538
ILMN_1795826,0.23112698862745074,2.4916263707437184e-05,0.0026033540611778614
ILMN_1716468,0.3290154837843131,2.5978671677405048e-05,0.002691614151891563
ILMN_1773228,-0.29032768396078357,2.6169890728607676e-05,0.002691614151891563
ILMN_1691578,-0.2956051851470578,2.641324486704118e-05,0.0026955842532914507
